state_p,county_p,city_p,stats_date,listings,resolved,bad_apns,mapped_properties,out_of_scope,may_be_duplicates_of_already_mapped,may_have_matching_zillow_listings,may_have_matching_license,outstanding_disputes,apns_with_unit_numbers_need_review,remaining_job_stats_ts,offline_on_review,no_match_found_1,no_match_found_2,no_match_found_3_or_more,suggest_qa,randomly_qa,completion,never_worked_on_yet
AZ,maricopa,city_of_scottsdale,2025-08-12,30914,27268,0,8552,3801,22.0,247.0,45.0,2.0,10.0,2025-08-12 08:04:41.504,143.0,1314.0,296.0,22.0,2.0,2.0,0.8820599081322378,0.0
AZ,maricopa,city_of_surprise,2025-08-12,2628,2383,0,1248,29,1.0,7.0,1.0,0.0,0.0,2025-08-12 08:04:41.504,42.0,53.0,99.0,7.0,0.0,0.0,0.9067732115677322,15.0
AZ,maricopa,city_of_tempe,2025-08-12,10130,8758,0,2532,820,6.0,82.0,11.0,0.0,30.0,2025-08-12 08:04:41.504,35.0,362.0,112.0,2.0,0.0,0.0,0.8645607107601184,41.0
AZ,maricopa,town_of_carefree,2025-08-12,469,424,0,194,50,7.0,7.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,5.0,16.0,8.0,2.0,0.0,0.0,0.9040511727078892,0.0
AZ,maricopa,town_of_cave_creek,2025-08-12,661,531,0,174,128,7.0,4.0,1.0,0.0,2.0,2025-08-12 08:04:41.504,0.0,18.0,0.0,0.0,0.0,5.0,0.8033282904689864,0.0
AZ,maricopa,town_of_fountain_hills,2025-08-12,1307,1141,0,488,27,1.0,4.0,0.0,0.0,27.0,2025-08-12 08:04:41.504,13.0,58.0,0.0,0.0,0.0,0.0,0.872991583779648,68.0
AZ,maricopa,town_of_gilbert,2025-08-12,4592,3425,0,1401,251,49.0,117.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,53.0,0.0,0.0,0.0,0.0,0.7458623693379791,863.0
AZ,maricopa,town_of_paradise_valley,2025-08-12,3215,2777,0,927,538,6.0,45.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.8637636080870917,0.0
AZ,maricopa,town_of_queen_creek,2025-08-12,868,776,0,418,48,0.0,0.0,0.0,0.0,2.0,2025-08-12 08:04:41.504,6.0,54.0,16.0,4.0,0.0,0.0,0.8940092165898618,0.0
AZ,mohave,city_of_lake_havasu_city,2025-08-12,7003,716,0,209,2,76.0,6.0,132.0,0.0,4.0,2025-08-12 08:04:41.504,0.0,2.0,0.0,0.0,0.0,0.0,0.10224189633014423,6283.0
AZ,navajo,city_of_show_low,2025-08-12,1737,1628,0,617,38,0.0,0.0,0.0,0.0,2.0,2025-08-12 08:04:41.504,19.0,28.0,50.0,1.0,0.0,0.0,0.9372481289579735,0.0
AZ,navajo,town_of_pinetop_lakeside,2025-08-12,2384,1906,0,452,519,25.0,0.0,0.0,0.0,6.0,2025-08-12 08:04:41.504,0.0,59.0,34.0,0.0,0.0,0.0,0.799496644295302,0.0
AZ,pima,town_of_marana,2025-08-12,972,21,0,10,0,2.0,140.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.021604938271604937,951.0
AZ,pima,town_of_oro_valley,2025-08-12,2045,1037,0,342,246,442.0,321.0,15.0,0.0,13.0,2025-08-12 08:04:41.504,2.0,1.0,0.0,0.0,0.0,0.0,0.5070904645476773,759.0
AZ,pinal,city_of_casa_grande,2025-08-12,751,579,5,242,30,1.0,0.0,0.0,0.0,4.0,2025-08-12 08:04:41.504,9.0,53.0,0.0,0.0,1.0,3.0,0.7709720372836218,75.0
AZ,yavapai,_,2025-08-12,8122,159,0,62,48,53.0,3.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.019576459000246245,7915.0
AZ,yavapai,city_of_prescott,2025-08-12,2557,20,0,12,0,4.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.007821666014861166,2537.0
CA,alameda,city_of_fremont,2025-08-12,2762,2016,0,660,217,11.0,17.0,0.0,0.0,10.0,2025-08-12 08:04:41.504,3.0,137.0,49.0,0.0,0.0,0.0,0.7299058653149891,340.0
CA,butte,city_of_chico,2025-08-12,1622,1478,0,671,94,0.0,3.0,0.0,0.0,8.0,2025-08-12 08:04:41.504,8.0,85.0,25.0,11.0,0.0,1.0,0.9112207151664612,0.0
CA,calaveras,_,2025-08-12,3705,3487,0,1407,190,1.0,3.0,1.0,0.0,105.0,2025-08-12 08:04:41.504,52.0,56.0,77.0,0.0,0.0,0.0,0.9411605937921728,0.0
CA,contra_costa,city_of_pinole,2025-08-12,218,25,0,12,0,1.0,48.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.11467889908256881,193.0
CA,contra_costa,city_of_san_ramon,2025-08-12,433,344,0,144,94,0.0,1.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,7.0,16.0,59.0,0.0,0.0,0.0,0.7944572748267898,0.0
CA,contra_costa,city_of_walnut_creek,2025-08-12,1072,806,0,359,134,0.0,1.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,6.0,169.0,35.0,0.0,0.0,0.0,0.7518656716417911,0.0
CA,del_norte,_,2025-08-12,1374,1272,0,488,224,1.0,0.0,0.0,0.0,11.0,2025-08-12 08:04:41.504,6.0,57.0,10.0,0.0,0.0,0.0,0.925764192139738,0.0
CA,drm,_,2025-08-12,1472,1422,0,335,312,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,12.0,2.0,0.0,0.0,0.0,0.0,0.9660326086956522,0.0
CA,el_dorado,_,2025-08-12,13958,13365,0,3555,4476,16.0,3.0,0.0,0.0,4.0,2025-08-12 08:04:41.504,140.0,176.0,128.0,0.0,0.0,0.0,0.9575154033529159,0.0
CA,el_dorado,city_of_south_lake_tahoe,2025-08-12,9903,9528,0,2040,4530,14.0,0.0,16.0,0.0,2.0,2025-08-12 08:04:41.504,76.0,53.0,30.0,0.0,0.0,0.0,0.9621326870645259,0.0
CA,fresno,city_of_clovis,2025-08-12,1088,975,0,473,93,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,6.0,37.0,37.0,0.0,0.0,0.0,0.8961397058823529,0.0
CA,fresno,city_of_fresno,2025-08-12,3573,3037,0,1394,252,20.0,60.0,0.0,0.0,15.0,2025-08-12 08:04:41.504,19.0,309.0,97.0,4.0,0.0,0.0,0.8499860061572908,0.0
CA,humboldt,_,2025-08-12,3661,3108,0,1122,423,1.0,5.0,0.0,0.0,8.0,2025-08-12 08:04:41.504,58.0,405.0,30.0,0.0,0.0,1.0,0.8489483747609943,0.0
CA,humboldt,city_of_arcata,2025-08-12,748,581,0,230,18,1.0,38.0,0.0,0.0,41.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.7767379679144385,149.0
CA,humboldt,city_of_eureka,2025-08-12,800,576,0,231,73,7.0,40.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.72,151.0
CA,humboldt,city_of_trinidad,2025-08-12,172,160,0,50,16,0.0,0.0,0.0,0.0,2.0,2025-08-12 08:04:41.504,1.0,3.0,0.0,0.0,0.0,0.0,0.9302325581395349,0.0
CA,kern,_,2025-08-12,4241,3737,0,1648,646,15.0,2.0,0.0,0.0,43.0,2025-08-12 08:04:41.504,33.0,350.0,83.0,10.0,0.0,2.0,0.8811601037491158,0.0
CA,kern,city_of_bakersfield,2025-08-12,2567,2030,0,966,204,48.0,6.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.7908063887806779,333.0
CA,kern,city_of_ridgecrest,2025-08-12,363,329,0,152,70,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,3.0,9.0,11.0,0.0,0.0,1.0,0.90633608815427,0.0
CA,lake,_,2025-08-12,2146,2015,0,696,611,3.0,8.0,0.0,0.0,21.0,2025-08-12 08:04:41.504,14.0,83.0,0.0,0.0,0.0,5.0,0.9389561975768872,0.0
CA,lake,city_of_clearlake,2025-08-12,247,233,0,97,75,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,3.0,6.0,0.0,2.0,0.0,0.0,0.9433198380566802,0.0
CA,lake,city_of_lakeport,2025-08-12,129,127,0,46,11,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,2.0,1.0,0.0,0.0,0.0,0.0,0.9844961240310077,0.0
CA,los_angeles,city_of_artesia,2025-08-12,147,88,0,34,11,2.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,15.0,0.0,0.0,0.0,0.0,0.5986394557823129,33.0
CA,los_angeles,city_of_baldwin_park,2025-08-12,507,179,0,39,2,35.0,58.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.3530571992110454,326.0
CA,los_angeles,city_of_beverly_hills,2025-08-12,11059,8465,0,1383,2381,7.0,19.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,93.0,920.0,223.0,22.0,1.0,0.0,0.7654399131928746,0.0
CA,los_angeles,city_of_calabasas,2025-08-12,534,386,0,208,52,0.0,1.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,12.0,25.0,94.0,8.0,0.0,0.0,0.7228464419475655,0.0
CA,los_angeles,city_of_claremont,2025-08-12,439,356,0,162,27,0.0,0.0,0.0,0.0,2.0,2025-08-12 08:04:41.504,0.0,39.0,7.0,0.0,0.0,0.0,0.8109339407744874,10.0
CA,los_angeles,city_of_diamond_bar,2025-08-12,724,484,0,185,44,0.0,3.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,26.0,11.0,4.0,0.0,0.0,0.6685082872928176,155.0
CA,los_angeles,city_of_downey,2025-08-12,539,16,0,10,1,3.0,95.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,2.0,0.0,0.0,0.0,0.0,0.029684601113172542,520.0
CA,los_angeles,city_of_gardena,2025-08-12,772,625,0,242,126,0.0,0.0,1.0,0.0,0.0,2025-08-12 08:04:41.504,6.0,37.0,25.0,31.0,0.0,0.0,0.8095854922279793,0.0
CA,los_angeles,city_of_glendale,2025-08-12,4294,3068,0,960,174,13.0,14.0,2.0,0.0,22.0,2025-08-12 08:04:41.504,60.0,824.0,200.0,0.0,0.0,0.0,0.7144853283651607,0.0
CA,los_angeles,city_of_glendora,2025-08-12,468,368,0,144,43,1.0,1.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,3.0,79.0,5.0,0.0,0.0,0.0,0.7863247863247863,0.0
CA,los_angeles,city_of_hawthorne,2025-08-12,1662,218,0,88,18,13.0,339.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.13116726835138387,1426.0
CA,los_angeles,city_of_long_beach,2025-08-12,6952,2921,0,998,401,30.0,2239.0,731.0,0.0,282.0,2025-08-12 08:04:41.504,0.0,55.0,0.0,0.0,1.0,0.0,0.42016685845799767,3575.0
CA,los_angeles,city_of_los_angeles,2025-08-12,110113,15912,5,3430,1466,3193.0,39209.0,14862.0,0.0,71.0,2025-08-12 08:04:41.504,0.0,32.0,0.0,0.0,15.0,1.0,0.14450609828085695,92698.0
CA,los_angeles,city_of_manhattan_beach,2025-08-12,1597,151,0,97,12,15.0,629.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,1.0,0.0,0.09455228553537884,1434.0
CA,los_angeles,city_of_monterey_park,2025-08-12,2060,1443,0,339,277,1.0,46.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,12.0,377.0,51.0,19.0,0.0,3.0,0.7004854368932039,0.0
CA,los_angeles,city_of_pasadena,2025-08-12,3173,2591,0,958,230,27.0,95.0,6.0,0.0,13.0,2025-08-12 08:04:41.504,40.0,187.0,216.0,6.0,0.0,0.0,0.8165773715726442,0.0
CA,los_angeles,city_of_pomona,2025-08-12,893,650,0,281,97,1.0,14.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,9.0,162.0,12.0,1.0,0.0,0.0,0.7278835386338186,0.0
CA,los_angeles,city_of_rancho_palos_verdes,2025-08-12,480,385,0,146,115,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,13.0,53.0,7.0,7.0,0.0,0.0,0.8020833333333334,0.0
CA,los_angeles,city_of_redondo_beach,2025-08-12,2312,1697,2,724,119,4.0,33.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,71.0,523.0,0.0,0.0,0.0,0.0,0.7339965397923875,0.0
CA,los_angeles,city_of_whittier,2025-08-12,541,47,0,20,0,8.0,109.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.08687615526802218,494.0
CA,madera,_,2025-08-12,5856,5307,0,1597,469,2.0,23.0,0.0,0.0,38.0,2025-08-12 08:04:41.504,83.0,178.0,49.0,3.0,2.0,0.0,0.90625,0.0
CA,madera,city_of_madera,2025-08-12,167,133,0,49,33,2.0,2.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,2.0,11.0,0.0,0.0,0.0,0.7964071856287425,0.0
CA,marin,_,2025-08-12,4908,1549,1,869,114,10.0,154.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,1.0,0.0,0.0,4.0,0.0,0.3156071719641402,3243.0
CA,marin,city_of_novato,2025-08-12,392,329,0,198,27,1.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,5.0,5.0,45.0,1.0,0.0,0.0,0.8392857142857143,0.0
CA,marin,city_of_san_rafael,2025-08-12,1067,865,0,401,85,0.0,0.0,0.0,0.0,11.0,2025-08-12 08:04:41.504,25.0,123.0,38.0,0.0,0.0,0.0,0.8106841611996252,0.0
CA,marin,town_of_corte_madera,2025-08-12,295,227,0,137,61,0.0,0.0,0.0,0.0,1.0,2025-08-12 08:04:41.504,10.0,10.0,25.0,0.0,0.0,0.0,0.7694915254237288,0.0
CA,marin,town_of_fairfax,2025-08-12,374,315,0,214,4,0.0,0.0,0.0,0.0,10.0,2025-08-12 08:04:41.504,4.0,18.0,21.0,15.0,0.0,0.0,0.8422459893048129,0.0
CA,mariposa,_,2025-08-12,3572,3445,0,938,167,0.0,3.0,0.0,0.0,41.0,2025-08-12 08:04:41.504,31.0,18.0,50.0,2.0,0.0,3.0,0.9644456886898096,0.0
CA,mendocino,city_of_ukiah,2025-08-12,184,142,0,66,40,4.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,26.0,8.0,0.0,0.0,0.0,0.7717391304347826,0.0
CA,mono,_,2025-08-12,688,654,0,193,297,1.0,0.0,0.0,0.0,3.0,2025-08-12 08:04:41.504,72.0,64.0,2.0,8.0,0.0,0.0,0.9505813953488372,0.0
CA,mono,town_of_mammoth_lakes,2025-08-12,13278,12864,0,3462,177,25.0,14.0,31.0,0.0,2180.0,2025-08-12 08:04:41.504,19.0,243.0,17.0,1.0,0.0,5.0,0.9688206055128784,0.0
CA,monterey,_,2025-08-12,5642,4943,1,1897,1119,3.0,1.0,10.0,0.0,26.0,2025-08-12 08:04:41.504,76.0,175.0,435.0,8.0,2.0,4.0,0.8761077632045374,0.0
CA,monterey,city_of_carmel_by_the_sea,2025-08-12,1264,1002,0,421,166,1.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.7927215189873418,96.0
CA,monterey,city_of_marina,2025-08-12,455,412,0,105,188,1.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,2.0,10.0,5.0,0.0,0.0,0.0,0.9054945054945055,0.0
CA,monterey,city_of_monterey,2025-08-12,1573,1426,0,481,707,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,15.0,34.0,18.0,5.0,0.0,0.0,0.9065479974570884,0.0
CA,monterey,city_of_pacific_grove,2025-08-12,1143,1087,0,463,244,0.0,1.0,1.0,0.0,14.0,2025-08-12 08:04:41.504,17.0,3.0,0.0,31.0,0.0,0.0,0.9510061242344707,0.0
CA,monterey,city_of_seaside,2025-08-12,1174,1031,1,275,287,1.0,1.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,3.0,21.0,0.0,0.0,0.0,0.0,0.8781942078364565,0.0
CA,napa,city_of_calistoga,2025-08-12,293,137,2,33,103,7.0,28.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,1.0,0.0,0.0,4.0,0.0,0.46757679180887374,50.0
CA,nevada,_,2025-08-12,4331,3778,0,1818,268,2.0,6.0,6.0,0.0,5.0,2025-08-12 08:04:41.504,148.0,212.0,327.0,9.0,0.0,2.0,0.8723158623874394,0.0
CA,nevada,city_of_grass_valley,2025-08-12,431,382,0,194,31,0.0,1.0,0.0,0.0,1.0,2025-08-12 08:04:41.504,3.0,7.0,4.0,0.0,0.0,0.0,0.8863109048723898,4.0
CA,nevada,city_of_nevada_city,2025-08-12,452,406,0,182,106,0.0,0.0,0.0,0.0,6.0,2025-08-12 08:04:41.504,4.0,5.0,12.0,8.0,0.0,0.0,0.8982300884955752,0.0
CA,orange,_,2025-08-12,50223,23052,3,5955,4312,735.0,7776.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,1.0,149.0,3.0,1.0,22.0,1.0,0.4589928917030046,22702.0
CA,orange,city_of_anaheim,2025-08-12,8313,4143,0,767,1877,222.0,1047.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,74.0,0.0,0.0,0.0,0.0,0.49837603753157705,2219.0
CA,orange,city_of_buena_park,2025-08-12,655,488,0,178,130,1.0,0.0,0.0,0.0,1.0,2025-08-12 08:04:41.504,9.0,116.0,23.0,0.0,0.0,0.0,0.7450381679389313,0.0
CA,orange,city_of_dana_point,2025-08-12,2203,1507,0,522,285,1.0,380.0,7.0,1.0,19.0,2025-08-12 08:04:41.504,8.0,121.0,0.0,0.0,0.0,2.0,0.6840671811166591,282.0
CA,orange,city_of_fullerton,2025-08-12,2058,1058,0,299,55,81.0,751.0,8.0,0.0,6.0,2025-08-12 08:04:41.504,1.0,106.0,0.0,0.0,3.0,0.0,0.5140913508260447,838.0
CA,orange,city_of_garden_grove,2025-08-12,3592,2219,0,621,387,1.0,21.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,40.0,995.0,63.0,3.0,0.0,1.0,0.6177616926503341,0.0
CA,orange,city_of_huntington_beach,2025-08-12,3942,2403,0,809,118,8.0,52.0,141.0,0.0,19.0,2025-08-12 08:04:41.504,6.0,223.0,23.0,0.0,0.0,1.0,0.6095890410958904,1169.0
CA,orange,city_of_irvine,2025-08-12,5803,3176,0,830,381,0.0,32.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,7.0,517.0,318.0,9.0,0.0,4.0,0.5473031190763398,1395.0
CA,orange,city_of_laguna_hills,2025-08-12,817,656,0,219,170,1.0,3.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,3.0,54.0,67.0,0.0,0.0,0.0,0.802937576499388,0.0
CA,orange,city_of_mission_viejo,2025-08-12,951,738,0,301,44,0.0,0.0,0.0,0.0,2.0,2025-08-12 08:04:41.504,48.0,48.0,84.0,7.0,0.0,0.0,0.7760252365930599,0.0
CA,orange,city_of_newport_beach,2025-08-12,8487,7798,2,1632,1346,10.0,8.0,26.0,0.0,211.0,2025-08-12 08:04:41.504,74.0,484.0,0.0,0.0,0.0,0.0,0.918817014257099,0.0
CA,orange,city_of_san_clemente,2025-08-12,2295,425,0,160,69,58.0,439.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,1801.0
CA,orange,city_of_stanton,2025-08-12,784,470,0,179,62,0.0,1.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,3.0,204.0,88.0,0.0,0.0,0.0,0.5994897959183674,0.0
CA,placer,_,2025-08-12,19437,18354,0,6134,2664,3.0,12.0,35.0,0.0,9.0,2025-08-12 08:04:41.504,124.0,567.0,185.0,35.0,0.0,9.0,0.9442815249266863,0.0
CA,placer,city_of_lincoln,2025-08-12,139,104,0,75,8,0.0,0.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,1.0,18.0,4.0,0.0,0.0,0.7482014388489209,4.0
CA,placer,city_of_rocklin,2025-08-12,370,328,0,147,59,0.0,1.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,0.0,15.0,9.0,0.0,0.0,0.0,0.8864864864864865,0.0
CA,placer,city_of_roseville,2025-08-12,1118,938,0,429,156,0.0,3.0,0.0,0.0,0.0,2025-08-12 08:04:41.504,1.0,69.0,6.0,3.0,0.0,0.0,0.8389982110912343,0.0
